Date,Open,High,Low,Close,Adj Close,Volume
23/8/2021,303.25,305.3999939,301.8500061,304.6499939,300.5180054,22830200
24/8/2021,305.019989,305.6499939,302,302.6199951,298.5155334,18175800
25/8/2021,304.2999878,304.5899963,300.4200134,302.0100098,297.9138489,20006100
26/8/2021,300.9899902,302.4299927,298.9500122,299.0899963,295.0334167,17666100
27/8/2021,298.9899902,300.8699951,296.8299866,299.7200012,295.6548462,22605700
30/8/2021,301.1199951,304.2200012,301.0599976,303.5899963,299.4723816,16348100
31/8/2021,304.4200134,304.5,301.5,301.8800049,297.785553,26285300
1/9/2021,302.8699951,305.1900024,301.4899902,301.8299866,297.7362366,18983800
2/9/2021,302.2000122,303.3599854,300.1799927,301.1499939,297.0654907,16285600
3/9/2021,300.9899902,302.6000061,300.2600098,301.1400146,297.055603,14747900
7/9/2021,301.0100098,301.0899963,298.2000122,300.1799927,296.1086121,17180400
8/9/2021,299.7799988,300.6099854,297.4700012,300.2099915,296.1382141,15046800
